"Name","PITCHER_THROWS","pitch_type","velo","brk_x","brk_z","spin_rate","extension"
"Davis Birch","R","FB",84.964,-5.681,5.012,2902.003,5.8978
"Ben Williams","L","FB",94.998,-5.454,11.414,2314.262,6.1879
"Ken Strout","R","FB",93.211,3.862,11.289,2646.094,6.0323
"Lonnie Ritter","R","FB",95.133,7.94,6.744,2107.214,5.6645
"Lou Collins","L","FB",91.488,5.008,11,2174.445,6.0731
"Terrence Mann","R","BRK",83.242,1.686,6.137,2110.964,6.5036
"Larry Fisher","R","FB",89.805,3.384,9.378,2242.495,6.4434
"Jake Taylor","R","FB",92.482,5.356,8.948,2232.892,6.8548
"Lou Collins","L","FB",92.444,5.034,12.242,2112.655,5.9717
"Pete Klein","R","FB",90.548,5.348,10.734,1976.412,6.3953
"Ben Williams","L","CH",83.875,8.524,8.443,1904.145,6.0162
"Roger Dorn","L","FB",89.441,-10.731,10.16,2418.341,5.5807
"Ken Strout","R","FB",91.443,5.146,7.24,2162.132,6.1297
"Roger Dorn","L","FB",88.383,-10.048,8.562,2462.572,6.5895
"Rudy Bonilla","R","FB",89.92,5.918,8.573,2152.856,6.4452
"Billy Chapel","L","BRK",77.164,2.589,-2.396,2630.433,4.9417
"Charlie Donovan","R","BRK",78.376,-0.028,-0.264,2309.792,5.2808
"Lonnie Ritter","R","FB",94.877,-8.426,4.015,2202.469,5.7384
"Pedro Cerrano","R","FB",87.197,-6.406,9.712,2315.66,6.2448
"Terrence Mann","R","BRK",77.361,6.539,1.086,1814.846,6.0614
"Terrence Mann","R","FB",90.068,9.281,8.135,2208.875,6.7768
"Mickey Scales","R","FB",92.816,-6.081,10.859,2331.241,6.414
"Pete Klein","R","FB",91.949,4.391,13.486,2227.847,6.0341
"Terrence Mann","R","FB",91.16,8.316,6.108,2172.834,6.5274
"Billy Heywood","L","BRK",77.215,5.419,-0.408,2421.877,5.7432
"Ben Williams","L","CH",82.496,7.136,6.394,1833.543,6.2591
"Rigo Sanchez","L","FB",90.169,0.998,11.721,2188.518,6.2338
"Mel Clark","R","FB",95.256,-5.45,12.822,2478.923,6.2327
"Ben Williams","L","FB",93.311,5.833,11.85,2299.555,5.9055
"Ken Strout","R","FB",92.042,5.171,10.768,2443.665,6.1885
"Terrence Mann","R","FB",90.121,10.459,7.454,2174.021,6.8733
"Jim Bowers","L","FB",94.453,-2.097,14.392,2284.785,7.4348
"Mel Clark","R","BRK",84.044,2.661,2.858,2301.559,5.8445
"Roger Dorn","L","BRK",76.908,2.545,-6.098,2736.421,5.9753
"Lonnie Ritter","R","FB",95.222,-7.613,8.249,2129.413,5.7781
"Lonnie Ritter","R","FB",92.801,7.088,3.792,1865.865,5.55
"Terrence Mann","R","FB",90.719,-4.757,9.569,2031.89,6.8553
"Billy Chapel","L","FB",90.162,8.793,6.12,2251.602,5.3233
"Ben Williams","L","BRK",81.024,-5.94,-3.23,2547.094,5.1295
"Lonnie Ritter","R","FB",94.55,11.436,5.016,2137.56,5.2959
"Ed Dweeb","R","FB",92.904,-10.541,6.77,2094.88,5.7996
"Larry Fisher","R","CH",80.107,-2.186,3.631,901.877,6.452
"Ken Strout","R","BRK",79.233,-4.861,-2.346,2620.81,5.2089
"Gus Sinski","L","FB",89.344,7.52,6.693,2014.541,5.4964
"Billy Heywood","L","BRK",73.674,6.868,0.027,2297.513,5.1503
"Jack Bradfield","R","CH",90.059,-8.72,6.499,1878.395,6.0492
"Mel Clark","R","FB",92.928,-9.256,8.402,2335.581,6.3916
"Roger Dorn","L","FB",90.091,12.924,7.586,2424.754,6.4713
"Roger Dorn","L","CH",78.691,8.796,3.979,2055.561,5.3189
"Hank Murphy","R","BRK",86.562,1.921,4.865,2560.555,6.1211
"Lou Brown","L","FB",91.752,-7.608,7.214,2164.648,5.8172
"Lou Collins","L","FB",89.776,3.888,10.806,2125.926,5.8695
"Jack Bradfield","R","BRK",84.486,2.757,-0.435,2053.908,5.0718
"Lou Collins","L","FB",91.648,6.747,10.329,2107.789,5.8014
"Billy Chapel","L","BRK",79.029,-5.338,-2.881,2681.764,5.1987
"Hank Murphy","R","BRK",87.472,1.323,5.787,2691.761,6.3086
"Gus Sinski","L","FB",85.076,-8.77,3.766,1867.199,5.9586
"Charlie Donovan","R","FB",88.47,11.354,5.889,2101.377,6.245
"Billy Chapel","L","FB",87.446,-8.33,6.855,2203.086,5.147
"Terrence Mann","R","BRK",77.542,5.5,0.366,1590.381,5.9696
"Ken Strout","R","BRK",80.702,8.705,-2.086,2745.288,5.3554
"Lonnie Ritter","R","FB",95.51,9.921,7.659,1990.009,5.6897
"Mel Clark","R","BRK",82.462,-3.876,2.711,2074.93,5.664
"Mickey Scales","R","BRK",80.821,-1.99,2.326,2402.1,5.846
"Larry Fisher","R","FB",88.475,-1.01,5.594,1774.404,6.885
"Charlie Donovan","R","FB",93.754,-2.819,8.477,2410.02,5.7888
"Lou Collins","L","FB",90.363,6.113,9.884,2125.844,6.1803
"Roger Bomman","R","FB",93.968,6.067,10.264,2488.003,6.087
"Ed Dweeb","R","FB",92.441,-12.165,1.183,2071.403,5.7563
"Terrence Mann","R","BRK",80.852,-4.877,4.091,2182.363,5.7696
"Roger Dorn","L","CH",77.565,-10.518,5.542,1686.713,6.4683
"Ken Strout","R","FB",90.683,4.264,8.81,2369.755,6.1515
"Ben Williams","L","FB",95.334,3.503,10.151,2242.716,5.8868
"Gus Sinski","L","BRK",81.616,0.367,2.848,2436.757,6.0074
"Roger Dorn","L","BRK",77.295,2.975,-6.837,2699.718,5.5615
"Ken Strout","R","BRK",81.594,-7.535,-1.277,2764.95,5.5949
"Jim Bowers","L","FB",94.51,2.023,10.955,2528.92,7.6049
"Larry Fisher","R","CH",78.103,2.2,4.048,1105.421,6.2766
"Lou Collins","L","FB",92.334,8.459,8.665,2310.487,5.7875
"Lonnie Ritter","R","FB",93.826,7.234,6.658,1991.23,5.62
"Jake Taylor","R","FB",90.585,-3.415,8.373,2140.196,7.1977
"Pedro Cerrano","R","BRK",77.701,1.636,-1.626,2081.081,5.8181
"Jimmy Pena","R","FB",91.59,-4.415,12.303,2414.943,6.7035
"Mickey Scales","R","FB",92.371,-5.873,13.479,2279.451,6.8337
"Ken Strout","R","BRK",75.726,-10.375,-1.847,2542.632,5.8764
"Terrence Mann","R","FB",90.603,-4.889,3.114,2034.113,6.6561
"Hank Murphy","R","FB",91.534,-2.105,6.697,2483.682,6.5085
"Hank Murphy","R","BRK",86.944,-1.274,1.269,2642.379,6.8222
"Terrence Mann","R","BRK",79.03,7.262,4.957,2035.353,6.1895
"Hank Murphy","R","FB",94.295,1.451,6.789,2500.301,6.3167
"Larry Fisher","R","FB",91.37,-1.428,8.948,2034.596,6.9935
"George Knox","L","BRK",84.23,8.367,0.774,2449.455,6.2028
"Mel Clark","R","FB",93.932,-12.329,9.223,2395.891,5.9262
"Lou Brown","L","FB",88.821,6.771,12.388,2154.497,6.063
"Billy Chapel","L","CH",78.352,8.451,6.347,2666.278,5.1383
"Hank Murphy","R","BRK",85.488,-0.931,2.422,2660.89,6.5125
"Ken Strout","R","FB",90.35,-5.31,10.574,2426.909,6.1637
"Billy Chapel","L","FB",87.709,-5.931,12.021,2249.742,5.1682
"Roger Dorn","L","CH",75.753,-8.194,5.474,1908.066,6.2444
"Lonnie Ritter","R","BRK",82.607,-2.942,-0.829,2323.446,5.7418
"Terrence Mann","R","FB",90.065,7.005,6.544,2214.01,6.5128
"Lou Brown","L","FB",89.702,9.023,7.616,2223.991,5.9176
"Lou Brown","L","FB",89.758,11.09,9.166,2045.831,6.0584
"Terrence Mann","R","FB",90.367,7.536,5.315,2027.63,6.9318
"Terrence Mann","R","FB",88.551,-2.727,7.423,2193.185,6.9178
"Roger Dorn","L","BRK",75.284,6.344,-6.991,2621.131,5.306
"Jake Taylor","R","BRK",78.034,4.016,-2.061,2331.758,6.5736
"Jim Bowers","L","FB",94.034,1.845,13.108,2377.068,7.1983
"Lou Brown","L","FB",91.459,-4.442,14.298,2284.283,5.7312
"Hank Murphy","R","BRK",89.07,-1.374,2.406,2643.548,6.5927
"Lonnie Ritter","R","FB",94.908,-7.605,8.177,2167.953,6.2497
"Mel Clark","R","BRK",82.784,-0.971,2.243,2510.942,5.7077
"Ben Williams","L","FB",94.489,10.761,8.746,2167.636,5.9647
"Mickey Scales","R","BRK",82.709,2.865,2.5,2551.918,5.743
"Davis Birch","R","FB",84.207,6.088,5.615,2626.833,5.6895
"Jack Bradfield","R","FB",97.41,8.728,8.902,2197.993,6.145
"Davis Birch","R","FB",84.811,-4.279,6.852,2761.537,5.6084
"Billy Chapel","L","FB",89.159,-6.984,8.361,2216.769,5.1985
"George Knox","L","CH",89.604,7.383,2.756,2068.11,6.3719
"Ben Williams","L","FB",94.01,8.402,8.788,2086.789,6.0345
"Charlie Donovan","R","FB",91.32,9.296,20.623,2283.024,6.1779
"Mickey Scales","R","FB",92.321,-4.162,11.282,2315.516,6.4628
"Lou Brown","L","FB",90.642,6.528,7.893,2144.556,5.8902
"Lou Brown","L","FB",90.664,10.806,7.741,2034.731,5.888
"Jack Bradfield","R","FB",96.011,8.602,10.775,2225.416,6.1035
"Billy Chapel","L","FB",89.308,7.27,8.902,2362.231,5.5188
"Pedro Cerrano","R","FB",88.922,-6.277,8.089,2255.682,6.0378
"Lou Brown","L","FB",89.844,8.447,5.85,2162.993,6.1137
"Billy Heywood","L","FB",85.888,4.86,11.814,2152.634,5.9796
"Roger Bomman","R","FB",93.576,-10.863,8.15,2346.063,5.9667
"Mel Clark","R","FB",95.805,-6.112,7.72,2591.378,6.1056
"Roger Bomman","R","FB",95.21,5.736,9.619,2506.587,6.5801
"Charlie Donovan","R","CH",85.164,-6.639,17.819,2006.331,5.7478
"Hank Murphy","R","FB",94.19,3.554,10.464,2636.645,6.8941
"Mel Clark","R","FB",95.615,-8.798,7.645,2458.134,6.3244
"Charlie Donovan","R","FB",89.653,-4.295,8.463,1852.345,5.5444
"Terrence Mann","R","FB",89.811,8.593,6.954,1884.983,6.8201
"Terrence Mann","R","FB",91.251,6.043,6.837,2055.299,6.6729
"Roger Bomman","R","FB",91.698,4.431,8.612,2446.458,5.8791
"Lou Collins","L","FB",91.761,-3.414,9.604,2222.776,5.8507
"Rudy Bonilla","R","BRK",77.539,3.701,-0.335,2019.063,6.2286
"Billy Chapel","L","FB",86.765,-8.631,7.941,2161.013,5.1734
"Jack Bradfield","R","CH",86.818,7.797,2.184,1885.825,5.8931
"Ben Williams","L","BRK",87.385,0.657,5.514,2179.289,5.6724
"Bo Gentry","L","FB",89.664,11.655,3.274,1758.959,5.5451
"Jim Bowers","L","FB",92.917,2.569,11.353,2220.91,7.3157
"Lonnie Ritter","R","BRK",85.069,-1.249,-0.687,2452.049,5.3756
"Roger Bomman","R","CH",82.601,9.748,4.561,2353.277,6.3321
"Mel Clark","R","FB",92.923,-9.104,7.081,2238.319,6.0978
"Lou Brown","L","FB",86.098,-9.648,8.951,2205.035,6.28
"Roger Dorn","L","BRK",73.449,3.375,-5.654,2625.022,6.2426
"Mickey Scales","R","FB",90.703,-3.218,9.192,2252.771,5.6712
"Lonnie Ritter","R","FB",93.329,8.525,5.182,1971.272,5.6217
"Rudy Bonilla","R","BRK",79.722,-1.245,3.733,1988.439,6.185
"Rudy Bonilla","R","FB",91.685,-6.241,7.356,2162.263,6.2763
"Charlie Donovan","R","FB",89.503,7.506,9.475,2118.526,5.6782
"Larry Fisher","R","FB",88.995,-0.389,10.954,2049.658,6.7005
"Roger Dorn","L","FB",89.243,-9.15,10.477,2383.967,6.7451
"Terrence Mann","R","FB",90.456,6.168,8.376,2061.165,6.4176
"Charlie Donovan","R","FB",93.048,4.07,5.93,2108.311,6.0756
"Charlie Donovan","R","BRK",81.173,-1.584,-2.899,2398.261,5.4903
"Terrence Mann","R","BRK",80.762,-3.896,0.993,1873.75,5.7805
"Jack Bradfield","R","BRK",86.556,1.874,1.13,2016.818,5.6871
"Roger Dorn","L","FB",88.967,8.434,9.72,2367.931,5.6504
"George Knox","L","FB",92.505,-7.907,8.309,2643.797,7.5462
"Pete Klein","R","FB",92.379,8.312,12.752,2365.372,6.7074
"Larry Fisher","R","FB",92.674,1.419,10.226,2400.589,6.572
"Roger Dorn","L","FB",88.085,9.114,10.532,2301.726,6.3822
"Hank Murphy","R","BRK",84.214,1.966,2.013,2611.33,6.1245
"Jack Bradfield","R","BRK",87.046,-2.603,0.478,1992.11,5.548
"Hank Murphy","R","BRK",86.422,3.327,1.276,2533.505,6.4624
"Hank Murphy","R","CH",82.752,8.073,6.562,1826.43,5.8035
"Roger Bomman","R","FB",91.766,6.496,6.605,2192.633,6.5824
"Roger Dorn","L","FB",89.69,9.372,11.036,2037.479,6.2096
"Pedro Cerrano","R","CH",80.065,4.311,7.667,803.922,5.8046
"Ken Strout","R","BRK",78.452,-6.805,-4.728,2625.574,5.7156
"Ben Williams","L","BRK",77.109,-4.468,-4.047,1778.488,5.7034
"Jimmy Pena","R","FB",87.623,5.478,12,2364.353,6.3368
"Billy Chapel","L","BRK",77.331,1.602,-1.128,2588.931,5.892
"Lou Collins","L","CH",73.944,6.21,-1.343,2292.254,6.006
"Terrence Mann","R","FB",90.811,-6.875,8.148,2135.42,6.87
"Lou Brown","L","FB",89.936,8.879,8.144,2216.914,5.746
"Larry Fisher","R","FB",91.387,2.111,6.555,2000.373,7.2766
"Jim Bowers","L","FB",94.804,3.324,13.265,2371.499,7.2094
"Ben Williams","L","CH",85.253,9.183,3.724,1834.843,6.1612
"Hank Murphy","R","FB",89.558,5.498,7.395,2283.468,6.1963
"Terrence Mann","R","FB",89.991,6.068,4.813,2186.62,6.7464
"Rigo Sanchez","L","FB",88.116,1.03,13.191,2129.495,6.072
"Ben Williams","L","BRK",81.486,-6.084,3.129,2474.497,5.196
"Gus Sinski","L","CH",82.584,12.927,3.923,2057.853,5.4962
"Jake Taylor","R","FB",92.472,-7.594,7.753,2074.942,7.2143
"Lou Collins","L","CH",74.848,9.65,-3.186,2416.324,6.1747
"Rudy Bonilla","R","BRK",80.032,6.495,0.612,1957.138,6.216
"Davis Birch","R","FB",86.77,6.173,5.192,2615.04,5.7577
"Rigo Sanchez","L","FB",90.094,1.536,12.83,2155.69,6.2667
"Lou Collins","L","CH",77.445,8.628,1.403,2162.111,5.8995
"Ed Dweeb","R","FB",93.112,8.372,8.178,2011.523,5.6111
"Roger Dorn","L","FB",88.042,13.855,12.637,2200.97,6.1065
"Gus Sinski","L","FB",87.774,6.346,6.288,2026.922,5.6316
"Larry Fisher","R","BRK",79.15,5.321,5.986,2102.907,5.9602
"Ben Williams","L","FB",94.962,8.511,7.589,2226.437,5.8923
"Roger Bomman","R","CH",80.858,9.452,4.742,2366.152,6.2153
"Lou Brown","L","FB",89.251,9.175,8.224,2070.722,5.7875
"Mickey Scales","R","BRK",82.259,3.972,2.93,2739.043,6.3948
"Roger Dorn","L","CH",78.074,12.423,5.213,1955.119,6.0547
"Ken Strout","R","BRK",78.79,7.767,-4.017,2746.025,6.4409
"Jim Bowers","L","FB",92.895,0.371,14.252,2490.843,6.8906
"Pedro Cerrano","R","BRK",77.557,0.165,1.422,2076.422,5.9067
"Mickey Hart","R","FB",92.291,2.579,16.044,2162.747,6.6911
"Billy Chapel","L","FB",88.269,8.421,6.854,2148.317,5.4763
"Terrence Mann","R","CH",80.533,-9.999,1.109,1388.512,6.4053
"Ken Strout","R","FB",91.15,4.102,9.065,2451.556,6.0884
"Lou Collins","L","BRK",78.619,-9.068,-6.72,2907.522,5.4621
"Roger Dorn","L","FB",91.596,-10.956,9.174,2405.5,6.424
"Gus Sinski","L","BRK",79.381,-1.577,0.98,2314.639,5.8409
"Davis Birch","R","FB",87.559,-3.71,2.375,2869.019,5.687
"Billy Chapel","L","CH",82.133,10.605,3.61,1959.615,5.656
"Roger Dorn","L","CH",76.958,9.466,5.72,2003.227,6.4468
"Charlie Donovan","R","FB",89.862,-7.525,10.597,1961.111,5.7485
"Pedro Cerrano","R","FB",87.685,-4.547,10.144,2182.956,6.3951
"Lonnie Ritter","R","FB",92.064,7.262,6.948,1924.137,5.4477
"Ben Williams","L","CH",85.128,8.77,6.142,1719.837,6.1473
"Jack Bradfield","R","FB",94.588,-10.084,6.311,2125.863,6.0705
"Davis Birch","R","FB",86.622,-2.269,5.347,2850.273,5.0072
"Lonnie Ritter","R","FB",92.93,-6.988,6.2,1931.485,5.9256
"Lou Brown","L","FB",90.764,9.575,7.365,2259.91,6.3554
"Mel Clark","R","FB",93.635,-5.737,9.688,2571.243,6.2867
"Billy Chapel","L","BRK",74.966,-5.176,-2.524,2687.529,5.4149
"Lou Brown","L","FB",87.411,-13.191,6.601,1950.694,5.9587
"Roger Dorn","L","BRK",74.589,-3.902,-6.075,2674.631,6.1914
"Mel Clark","R","FB",94.447,8.206,8.82,2546.902,5.9735
"Roger Dorn","L","FB",89.446,8.824,9.128,2498.49,6.3979
"Hank Murphy","R","BRK",89.359,0.103,1.474,2888.799,6.0342
"Ben Williams","L","FB",91.667,5.316,10.842,2017.979,6.1977
"Charlie Donovan","R","BRK",82.236,-0.975,-1.093,2328.043,5.4057
"Hank Murphy","R","BRK",89.314,1.485,3.338,2775.262,5.9499
"Mel Clark","R","BRK",83.669,4.251,2.089,2229.05,5.7198
"Roger Dorn","L","FB",88.245,-9.201,10.355,2301.802,6.7973
"Mickey Scales","R","FB",94.013,-3.601,13.099,2434.013,6.1808
"Roger Dorn","L","FB",89.544,-8.465,9.09,2294.56,6.6684
"Davis Birch","R","FB",84.586,4.522,8.525,2538.386,5.9538
"Lou Collins","L","FB",90.708,4.229,8.879,1976.991,6.0255
"Charlie Donovan","R","FB",88.475,6.968,8.097,2206.319,5.7397
"Mickey Hart","R","FB",91.998,1.238,15.71,2240.333,6.3999
"Roger Dorn","L","FB",87.35,-9.287,7.974,2270.09,6.3739
"Lou Brown","L","FB",88.337,-7.98,5.076,1980.716,5.799
"Mel Clark","R","CH",84.691,7.505,5.724,1554.056,6.5511
"Billy Chapel","L","FB",88.814,22.731,13.125,2108.48,5.1461
"Terrence Mann","R","FB",88.935,-8.98,10.333,2134.255,6.9445
"Lou Brown","L","BRK",73.943,3.408,2.27,1955.242,5.9441
"Roger Bomman","R","FB",93.2,-9.144,8.331,2504.261,6.1104
"Billy Chapel","L","FB",91.842,10.686,7.142,2284.019,5.3938
"Mickey Scales","R","FB",95.302,2.29,13.842,2380.153,6.5579
"Gus Sinski","L","FB",88.299,4.479,5.508,2025.691,5.7188
"Rudy Bonilla","R","FB",90.331,-6.52,6.655,2154.276,6.5104
"Larry Fisher","R","FB",92.441,1.973,10.669,2337.408,6.4765
"Charlie Donovan","R","BRK",81.838,1.123,-1.862,2499.993,5.8579
"Lonnie Ritter","R","FB",93.303,8,4.734,2169.837,5.5794
"Ed Dweeb","R","FB",93.237,-11.173,4.462,2148.774,5.854
"Billy Chapel","L","FB",89.712,18.811,18.511,2232.475,5.3947
"Lou Collins","L","CH",75.325,-10.831,-5.326,2385.524,6.0355
"Ken Strout","R","FB",93.66,-3.394,11.695,2486.107,6.3658
"Davis Birch","R","FB",85.158,0.487,7.364,2602.304,5.8872
"Ed Dweeb","R","BRK",81.087,7.391,0.632,2123.444,5.3406
"Billy Chapel","L","BRK",79.159,2.114,-2.94,2584.26,5.4695
"Jack Bradfield","R","FB",95.209,8.958,9.108,2216.448,6.0819
"Ben Williams","L","CH",84.683,7.501,10.361,1777.31,6.1965
"Lou Brown","L","FB",88.77,11.115,5.556,2119.374,5.6999
"Mickey Scales","R","FB",93.493,-7.312,10.488,2424.937,5.9355
"Jim Bowers","L","FB",94.199,2.731,14.062,2492.016,6.5923
"Pedro Cerrano","R","FB",86.443,2.886,9.925,2123.185,6.3121
